"1X8m4","sdz","sdz","sdz@sdz.nl","SDZ","0"
"EoYnc","tos","tos","tos@tos.nl","TOS-Actief","0"
"1","1","Fm5Dy","Onder 14","najaar","177.408","128.208","81.9085","95.5","62.6085",NULL,"23","16","21","60","60","62","122","33","26","59","34","39","73","2.06","2.1","2.06",NULL,"3.65","3.65","5.01","5.11","5.01","7.96","9.46","7.96","8.69","9.07","8.69","1.87","1.84","1.84","1X8m4","2022-10-05","2000-05-14","1","2022/'23"
"2","2","Fm5Dy","Onder 14","voorjaar","178.078","128.752","81.1973","96.8809","66.6507",NULL,"23","16","21","60","60","62","122","33","26","59","34","39","73","2.06","2.1","2.06",NULL,"3.65","3.65","5.01","5.11","5.01","7.96","9.46","7.96","8.69","9.07","8.69","1.87","1.84","1.84","1X8m4","2023-04-05","2000-05-14","2","2022/'23"
"3","3","Fm5Dy","Onder 15","najaar","179.01","129.811","81.1218","97.8884","68.019",NULL,"16","8","5","29","60","54","114","34","28","62","36","32","68","1.95","1.88","1.88","3.74","3.53","3.53","5.07","4.82","4.82","8.82","8.17","8.17","8.25","9.14","8.25","2.25","1.96","1.96","1X8m4","2023-10-05","2000-05-14","3","2023/'24"
"4","4","Fm5Dy","Onder 15","voorjaar","180.65","131.119","81.5559","99.0945","68.008",NULL,"16","8","5","29","60","54","114","34","28","62","36","32","68","1.95","1.88","1.88","3.74","3.53","3.53","5.07","4.82","4.82","8.82","8.17","8.17","8.25","9.14","8.25","2.25","1.96","1.96","1X8m4","2024-04-05","2000-05-14","4","2023/'24"
"5","6","Fm5Dy","Onder 16","voorjaar","182.313","133.109","81.0547","101.259","69.506",NULL,"24","24","5","53","62","43","105","28","30","58","44","18","62","1.92","1.81","1.81","3.28","3.2","3.2","4.6","4.36","4.36","8.52","8.24","8.24","8.18","8.31","8.18","2.57","2.45","2.45","1X8m4","2025-04-05","2000-05-14","6","2024/'25"
"6","7","Fm5Dy","Onder 17","najaar","183.577","134.021","81.5332","102.043","69.015",NULL,"24","10","9","43","65","61","126","26","40","66","24","30","54","1.99","1.87","1.87","3.69","3.41","3.41","4.39","4.21","4.21","8.22","8.41","8.22","9.41","7.79","7.79","2.31","2.02","2.02","1X8m4","2025-10-05","2000-05-14","7","2025/'26"
"7","8","Fm5Dy","Onder 17","voorjaar","183.958","134.588","81.2239","102.734","68.1991",NULL,"24","10","9","43","65","61","126","26","40","66","24","30","54","1.99","1.87","1.87","3.69","3.41","3.41","4.39","4.21","4.21","8.22","8.41","8.22","9.41","7.79","7.79","2.31","2.02","2.02","1X8m4","2026-04-05","2000-05-14","8","2025/'26"
"8","9","Fm5Dy","Onder 18","najaar","184.929","136.324","80.5508","104.378","68.9069",NULL,"24","19","18","61","46","62","108","40","40","80","22","37","59","1.92","1.87","1.87","3.3","3.16","3.16","4.19","4.17","4.17","7.87","7.83","7.83","8.18","8.14","8.14","2.12","2.26","2.12","1X8m4","2026-10-05","2000-05-14","9","2026/'27"
"9","10","Fm5Dy","Onder 18","voorjaar","185.617","136.973","80.5042","105.113","68.8013",NULL,"24","19","18","61","46","62","108","40","40","80","22","37","59","1.92","1.87","1.87","3.3","3.16","3.16","4.19","4.17","4.17","7.87","7.83","7.83","8.18","8.14","8.14","2.12","2.26","2.12","1X8m4","2027-04-05","2000-05-14","10","2026/'27"
"10","11","2XfHU","Onder 14","najaar","172.689","130.889","87.6888","85","50.0887",NULL,"15","24","17","56","47","43","90","28","38","66","22","33","55","2.03","1.91","1.91","3.46","3.646","3.46","4.51","4.81","4.51",NULL,NULL,NULL,"8.53","8.59","8.53","1.92","1.8","1.8","1X8m4","2022-10-05","2000-07-09","1","2022/'23"
